1,50,8.0,0.99,1.5673518051104582e-05,1.8282032414800684e-05
5,10,8.0,4.350017470678192e-06,7.00321981332682e-06
5,50,4.0,0.999,5.900819036696543e-06,4.4469053326179536e-05
5,100,4.0,0.999,1.3783821539057225e-05,9.849812158808487e-05
5,1000,4.0,0.99,3.5904343303182516e-06,4.9888926861223934e-05
10,50,4.0,0.99,3.232055420378348e-06,0.0003107753661404055
100,50,4,0.99,0.00001276130557084095,0.0002596820087278467
